"Table 2. Per Capita Personal Income by Metropolitan Area, 2016 - 2018",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
,2016,2017,2018,2018,2017,2018,2018
Metropolitan Statistical Areas2,,,,,,,
"Ogden, UT","40,498","41,795","43,988",236,3.2,5.2,82
"Hagerstown, MD","41,213","42,144","43,897",237,2.3,4.2,263
"Cape Girardeau, MO","40,410","41,882","43,850",238,3.6,4.7,156
"Williamsport, PA","39,990","41,587","43,823",239,4,5.4,70
"Grand Island, NE","40,833","42,186","43,817",240,3.3,3.9,299
"Jefferson City, MO","40,376","42,259","43,802",241,4.7,3.7,327
"Jackson, MS","41,623","42,035","43,772",242,1,4.1,264
"Gainesville, GA","39,946","41,856","43,701",243,4.8,4.4,207
"Lawrence, KS","40,244","41,899","43,642",244,4.1,4.2,262
"Wichita Falls, TX","40,194","41,395","43,527",245,3,5.2,98
"Ames, IA","40,440","41,321","43,519",246,2.2,5.3,76
"Orlando, FL","39,920","41,748","43,491",247,4.6,4.2,255
"Johnstown, PA","39,656","40,721","43,420",248,2.7,6.6,15
"Yakima, WA","40,285","41,868","43,379",249,3.9,3.6,331
"Wilmington, NC","41,122","41,953","43,311",250,2,3.2,353
"Pensacola, FL","40,315","41,592","43,259",251,3.2,4,283
"New Bern, NC","41,019","41,547","43,257",252,1.3,4.1,266
"Panama City, FL","41,019","41,499","43,231",253,1.2,4.2,256
"Greensboro, NC","40,477","41,701","43,189",254,3,3.6,335
"Spartanburg, SC","40,785","41,783","43,148",255,2.4,3.3,350
"Abilene, TX","40,140","40,862","43,140",256,1.8,5.6,57
"Fresno, CA","40,327","41,137","43,084",257,2,4.7,150
"Deltona, FL","39,651","41,165","43,028",258,3.8,4.5,188
"Montgomery, AL","40,608","41,592","42,943",259,2.4,3.2,352
"Yuba City, CA","40,729","41,270","42,925",260,1.3,4,282
"Albany, OR","39,164","40,865","42,891",261,4.3,5,113
"Lima, OH","39,146","40,712","42,816",262,4,5.2,94
"East Stroudsburg, PA","39,509","40,393","42,722",263,2.2,5.8,45
"Salem, OR","39,529","40,811","42,714",264,3.2,4.7,162
"Gainesville, FL","39,134","40,958","42,663",265,4.7,4.2,260
"Tallahassee, FL","39,419","40,605","42,601",266,3,4.9,120
"Albuquerque, NM","40,180","40,715","42,536",267,1.3,4.5,199
"Michigan City, IN","39,048","40,561","42,527",268,3.9,4.8,131
"Morgantown, WV","38,911","40,728","42,509",269,4.7,4.4,217
"Youngstown, OH","39,440","40,496","42,443",270,2.7,4.8,139
"Sherman, TX","39,971","40,662","42,195",271,1.7,3.8,311
"Lubbock, TX","39,579","40,416","42,181",272,2.1,4.4,218
"Elizabethtown, KY","39,726","40,922","42,144",273,3,3,367
"Augusta, GA","39,015","40,502","42,053",274,3.8,3.8,303
"Bangor, ME","38,781","39,976","42,053",274,3.1,5.2,90
"Dover, DE","39,074","40,438","42,023",276,3.5,3.9,293
"Parkersburg, WV","37,757","39,010","41,988",277,3.3,7.6,4
"Bloomington, IN","38,034","40,079","41,947",278,5.4,4.7,163
"Warner Robins, GA","39,342","40,517","41,944",279,3,3.5,343
"Kokomo, IN","39,019","39,916","41,842",280,2.3,4.8,134
"Lansing, MI","38,917","39,981","41,812",281,2.7,4.6,177
"Springfield, MO","38,464","40,306","41,780",282,4.8,3.7,324
"Bay City, MI","39,443","40,192","41,722",283,1.9,3.8,308
"Killeen, TX","39,588","40,717","41,634",284,2.9,2.3,379
"Longview, TX","39,150","39,526","41,630",285,1,5.3,75
"Punta Gorda, FL","39,292","39,868","41,564",286,1.5,4.3,241
Nonmetropolitan portion,"38,422","39,690","41,552",--,3.3,4.7,--
"Lewiston, ME","38,311","39,600","41,528",287,3.4,4.9,127
"Lawton, OK","38,876","39,614","41,509",288,1.9,4.8,140
"Owensboro, KY","38,753","40,016","41,387",289,3.3,3.4,345
"Kankakee, IL","38,347","39,602","41,290",290,3.3,4.3,238
"Greenville, NC","38,611","39,873","41,191",291,3.3,3.3,348
"Brunswick, GA","37,800","39,058","41,092",292,3.3,5.2,88
"Flint, MI","38,398","39,380","41,068",293,2.6,4.3,233
"Columbus, GA","38,047","39,407","41,067",294,3.6,4.2,246
"Macon, GA","38,120","39,399","41,066",295,3.4,4.2,245
"Grants Pass, OR","37,775","39,166","40,977",296,3.7,4.6,172
"Dothan, AL","38,025","39,194","40,883",297,3.1,4.3,227
"Provo, UT","37,375","38,802","40,831",298,3.8,5.2,85
"Waco, TX","37,897","39,182","40,831",298,3.4,4.2,248
"Springfield, OH","37,843","39,235","40,769",300,3.7,3.9,295
"Carbondale, IL","37,641","38,782","40,701",301,3,4.9,114
"Athens, GA","37,411","38,884","40,690",302,3.9,4.6,166
"Riverside, CA","37,774","38,821","40,486",303,2.8,4.3,232
"Monroe, LA","38,093","38,726","40,482",304,1.7,4.5,185
"Weirton, WV","36,579","38,472","40,472",305,5.2,5.2,89
"Visalia, CA","38,198","39,018","40,420",306,2.1,3.6,333
"Florence, SC","37,454","38,644","40,413",307,3.2,4.6,180
"Lynchburg, VA","37,598","38,720","40,374",308,3,4.3,234
"Johnson City, TN","37,636","38,673","40,360",309,2.8,4.4,219
"Prescott, AZ","36,511","38,381","40,312",310,5.1,5,106
"Sierra Vista, AZ","37,621","39,165","40,308",311,4.1,2.9,368
"Huntington, WV","36,513","37,901","40,299",312,3.8,6.3,24
"Vineland, NJ","37,515","38,630","40,289",313,3,4.3,230
"Battle Creek, MI","37,994","38,608","40,276",314,1.6,4.3,225
"Jackson, TN","37,782","38,565","40,226",315,2.1,4.3,229
"Cumberland, MD","37,583","38,342","40,049",316,2,4.5,202
"Kingsport, TN","37,138","38,369","40,042",317,3.3,4.4,221
"Hot Springs, AR","37,226","38,629","40,004",318,3.8,3.6,339
"Clarksville, TN","38,608","39,426","39,991",319,2.1,1.4,382
"Lafayette, IN","36,328","37,534","39,969",320,3.3,6.5,19
"Madera, CA","37,209","38,062","39,897",321,2.3,4.8,136
"Hickory, NC","36,542","38,119","39,849",322,4.3,4.5,183
"Jackson, MI","37,336","38,031","39,832",323,1.9,4.7,148
"Joplin, MO","37,607","38,856","39,765",324,3.3,2.3,378
"Harrisonburg, VA","36,730","38,469","39,721",325,4.7,3.3,351
"Bakersfield, CA","37,920","38,467","39,703",326,1.4,3.2,354
"College Station, TX","36,050","37,569","39,533",327,4.2,5.2,86
"Pueblo, CO","36,228","37,540","39,511",328,3.6,5.3,81
"Rocky Mount, NC","36,625","37,764","39,498",329,3.1,4.6,175
"Danville, IL","36,383","37,461","39,481",330,3,5.4,68
"Burlington, NC","37,317","38,141","39,342",331,2.2,3.1,357
"Twin Falls, ID","36,994","37,897","39,309",332,2.4,3.7,318
"St. Joseph, MO","36,629","37,934","39,253",333,3.6,3.5,344
"Mansfield, OH","36,368","37,865","39,234",334,4.1,3.6,330
"Muskegon, MI","36,235","37,207","39,072",335,2.7,5,108
"Hammond, LA","36,690","37,474","38,974",336,2.1,4,286
"St. George, UT","34,775","36,809","38,847",337,5.8,5.5,59
"Saginaw, MI","36,722","37,286","38,754",338,1.5,3.9,292
"Decatur, AL","35,853","37,050","38,719",339,3.3,4.5,193
"Beckley, WV","34,176","36,477","38,717",340,6.7,6.1,30
"Myrtle Beach, SC","36,563","37,565","38,700",341,2.7,3,365
"Logan, UT","35,406","37,269","38,690",342,5.3,3.8,305
"Hattiesburg, MS","36,115","37,066","38,648",343,2.6,4.3,236
"Blacksburg, VA","35,515","36,723","38,538",344,3.4,4.9,115
"Rome, GA","36,054","37,003","38,524",345,2.6,4.1,268
"Merced, CA","36,786","38,037","38,519",346,3.4,1.3,383
"Goldsboro, NC","35,607","37,309","38,472",347,4.8,3.1,361
"Cleveland, TN","36,665","37,063","38,371",348,1.1,3.5,342
"Terre Haute, IN","35,425","36,789","38,299",349,3.9,4.1,270
"Mobile, AL","35,961","36,705","38,170",350,2.1,4,287
"Pocatello, ID","35,500","36,884","38,038",351,3.9,3.1,360
"Auburn, AL","35,690","36,437","38,036",352,2.1,4.4,213
"Tuscaloosa, AL","35,421","36,396","37,983",353,2.8,4.4,220
"Homosassa Springs, FL","35,856","36,614","37,920",354,2.1,3.6,336
"Fort Smith, AR","35,696","36,452","37,800",355,2.1,3.7,321
"Florence, AL","35,604","36,129","37,608",356,1.5,4.1,272
"Texarkana, TX","35,637","36,485","37,607",357,2.4,3.1,363
"Albany, GA","35,485","36,522","37,500",358,2.9,2.7,374
"Sumter, SC","34,573","35,768","37,304",359,3.5,4.3,231
"Muncie, IN","34,621","35,713","37,201",360,3.2,4.2,259
"Anniston, AL","34,774","35,721","37,120",361,2.7,3.9,294
"Ocala, FL","34,506","35,719","36,997",362,3.5,3.6,334
"El Centro, CA","35,406","36,537","36,974",363,3.2,1.2,384
"Gadsden, AL","34,792","35,542","36,918",364,2.2,3.9,298
"Fayetteville, NC","34,255","35,245","36,903",365,2.9,4.7,155
"Gulfport, MS","35,316","35,672","36,878",366,1,3.4,346
"Bowling Green, KY","34,878","35,863","36,740",367,2.8,2.4,377
"Jonesboro, AR","34,375","35,330","36,588",368,2.8,3.6,338
"Las Cruces, NM","34,516","35,144","36,570",369,1.8,4.1,276
"Dalton, GA","33,983","34,984","36,316",370,2.9,3.8,307
"Valdosta, GA","33,664","34,613","36,217",371,2.8,4.6,171
"El Paso, TX","33,318","34,228","35,836",372,2.7,4.7,157
"Morristown, TN","33,656","34,280","35,829",373,1.9,4.5,191
"Yuma, AZ","33,141","35,049","35,682",374,5.8,1.8,380
"Lakeland, FL","33,333","34,591","35,463",375,3.8,2.5,376
"Farmington, NM","33,070","33,613","35,453",376,1.6,5.5,64
"Hanford, CA","33,457","34,323","35,306",377,2.6,2.9,371
"Pine Bluff, AR","32,372","33,224","34,554",378,2.6,4,285
"Hinesville, GA","31,556","32,322","33,744",379,2.4,4.4,210
"Sebring, FL","32,174","32,922","33,453",380,2.3,1.6,381
"Lake Havasu City, AZ","30,286","31,742","33,148",381,4.8,4.4,206
"Laredo, TX","29,448","30,153","31,635",382,2.4,4.9,121
"Brownsville, TX","27,023","27,427","28,756",383,1.5,4.8,132
"McAllen, TX","25,111","25,451","26,410",384,1.4,3.8,312
1. Per capita personal income was computed using Census Bureau midyear population estimates. Estimates reflect county population estimates available as of March 2019.,,,,,,,
"2. The personal income level shown for the United States is derived as the sum of the county estimates. It differs from the estimate of personal income in the national income and product accounts because of differences in coverage, in the methodologies used to prepare the estimates, and in the timing of the availability of source data.",,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,
